First Name,Other Names,Last Name,Gender,Date of Birth,Marital Status,Phone Number,WhatsApp Number (if different),Apostle,Attending Church or FLOW Church,Ministry,Name of Campus/Town/SHS/Flow,Centre Code and Name,Area of Residence,Occupation,pictureUrl
Adoniram,,Quainoo,Male,1990-09-20,Single ,233209456392,233209456392,,,Greater Love Choir,,,East Legon,Full Time Pastor,https://robohash.org/verosintrepudiandae.jpg?size=50x50&set=set1
Emmanuel,,Amartey ,Male ,1990-09-21,Married ,233209385427,233209385427,,,Greater Love Choir,,,East Legon,Full Time Pastor,https://robohash.org/noncommodirecusandae.bmp?size=50x50&set=set1
Emmanuel,,Baah ,Male,1990-09-22,Single ,233249441654,233249441654,,,Greater Love Choir,,,East Legon,Full Time Pastor,https://robohash.org/illumveritatiscorporis.png?size=50x50&set=set1
Frank,Kofi ,Opoku ,Male ,1990-09-23,Single ,233245742508,233245742508,,,Greater Love Choir,,,East Legon,Full Time Pastor,https://robohash.org/necessitatibusconsequunturquo.png?size=50x50&set=set1
Isaac,,Nakoja ,Male,1990-09-24,Single ,233249055732,233249055732,,,Dancing Stars,,,East Legon,Full Time Pastor,https://robohash.org/sedaccusamusid.png?size=50x50&set=set1
Isaac,Ofori,Agyeman,Male ,1990-09-25,Married,233277438728,233277438728,,,Culinary Stars,,,East Legon,Full Time Pastor,https://robohash.org/maioresnonnam.bmp?size=50x50&set=set1
Kenny,,Ngwato,Male,1990-09-26,Married,233542170502,233542170502,,,Understanding Campaign,,,East Legon,Full Time Pastor,https://robohash.org/eligendirerumeum.bmp?size=50x50&set=set1
Kent,,Njeru,Male,1990-09-27,Single,233554423538,233554423538,,,Film Stars,,,East Legon,Full Time Pastor,https://robohash.org/situllamasperiores.png?size=50x50&set=set1
Kwabena,,Asamoah,Male,1990-09-28,Married ,233501075635,233501075635,,,Dancing Stars,,,East Legon,Full Time Pastor,https://robohash.org/solutaeaquenobis.jpg?size=50x50&set=set1
Ludwig,,Lamptey,Male,1990-09-29,Single,233503343013,233503343013,,,Media,,,East Legon,Full Time Pastor,https://robohash.org/erroridquasi.png?size=50x50&set=set1
Maxwell,,Kumatey,Male,1990-09-30,Single,233500009243,233500009243,,,Lovelets,,,East Legon,Full Time Pastor,https://robohash.org/verosintrepudiandae.jpg?size=50x50&set=set1
Paul,,Dwimoh,Male,1990-10-01,Single,233266500854,233266500854,,,Greater Love Choir,,,East Legon,Full Time Pastor,https://robohash.org/noncommodirecusandae.bmp?size=50x50&set=set1
Paul,,Baidoo,Male,1990-10-02,Married,233542662701,233542662701,,,Greater Love Choir,,,East Legon,Full Time Pastor,https://robohash.org/illumveritatiscorporis.png?size=50x50&set=set1
Peter,,Azura,Male,1990-10-03,Married,2348082071488,2348082071488,,,Greater Love Choir,,,East Legon,Full Time Pastor,https://robohash.org/necessitatibusconsequunturquo.png?size=50x50&set=set1
