Whatsapp Number,Sonta,CAMPUS
233315491789,Arrivals,ACCRA POLY
233339753324,Arrivals,ACM
233705123864,Arrivals,AIT
233174700737,Arrivals,ASHESI
233961992289,Arrivals,CENTRAL MIOTSO
233957671827,Arrivals,COMMUNITIES GENERAL
233134830934,Arrivals,GIJ/NAFTI
233202793676,Arrivals,GIMPA
233259025541,Arrivals,GTUC
233231549242,Arrivals,KINGS UNIVERSITY
233862907699,Arrivals,KORLE-BU
233149425863,Arrivals,LANCASTER
233456153657,Arrivals,LEGON CENTRAL
233744160323,Arrivals,LEGON CITY CAMPUS
233975523391,Arrivals,LEGON DIASPORA
233552292735,Arrivals,LEGON GENERAL CENTRAL
233499810215,Arrivals,LEGON GENERAL DIASPORA
233792672421,Arrivals,LEGON GENERAL PENT CITY
233235332728,Arrivals,Legon Pent City
233709275976,Arrivals,MARITIME
233043123103,Arrivals,METHODIST UNIVERSITY
233783216177,Arrivals,PANTANG NTC
233909771075,Arrivals,PENTECOST
233637741732,Arrivals,Tema Narh-Bita
233021316355,Arrivals,TESHIE FAMILY HEALTH
233186506790,Arrivals,TESHIE NMTC
233692593166,Arrivals,UPSA
233438075694,Arrivals,UPSA General
233778290627,Arrivals,VALLEY VIEW UNIVERSITY
233114658886,Arrivals,WEBSTER
233839586686,Arrivals,WISCONSIN
233013986767,Greater Love Choir,ACCRA POLY
233990891344,Greater Love Choir,ACM
233415835354,Greater Love Choir,AIT
233816879713,Greater Love Choir,ASHESI
233644174974,Greater Love Choir,CENTRAL MIOTSO
233135298519,Greater Love Choir,COMMUNITIES GENERAL
233052083744,Greater Love Choir,GIJ/NAFTI
233685352332,Greater Love Choir,GIMPA
233502377886,Greater Love Choir,GTUC
233066726762,Greater Love Choir,KINGS UNIVERSITY
233800349590,Greater Love Choir,KORLE-BU
233107375280,Greater Love Choir,LANCASTER
233194832007,Greater Love Choir,LEGON CENTRAL
233272366208,Greater Love Choir,LEGON CITY CAMPUS
233492997072,Greater Love Choir,LEGON DIASPORA
233501337085,Greater Love Choir,LEGON GENERAL CENTRAL
233278012938,Greater Love Choir,LEGON GENERAL DIASPORA
233068019133,Greater Love Choir,LEGON GENERAL PENT CITY
233459128595,Greater Love Choir,Legon Pent City
233984269502,Greater Love Choir,MARITIME
233530018207,Greater Love Choir,METHODIST UNIVERSITY
233122358442,Greater Love Choir,PANTANG NTC
233007808035,Greater Love Choir,PENTECOST
233040180959,Greater Love Choir,Tema Narh-Bita
233628441176,Greater Love Choir,TESHIE FAMILY HEALTH
233822988909,Greater Love Choir,TESHIE NMTC
233395799225,Greater Love Choir,UPSA
233453091810,Greater Love Choir,UPSA General
233974039242,Greater Love Choir,VALLEY VIEW UNIVERSITY
233300586189,Greater Love Choir,WEBSTER
233365479229,Greater Love Choir,WISCONSIN
233408408945,Dancing Stars,ACCRA POLY
